id,name,type,link,input_info,input_fmt,td_type,tdma,is-integrated,can-integrated,maturity,studies_maturity,run_stand_alone,license_type,output_info,output_fmt,programming_language,studies_citing_artifact,other_comments,trigger,trigger-description,interface-type,interface-subtype,is-integrated-using-interface-subtype,is-integrated-with,is-integrated-description,is-integrted-outcome
A1,a-cma / a-cma dqn,tool,https://hrahmadi71.github.io/a-cma/,['source code'],['source code'],"['design', 'code']",['repayment'],No,Yes,Academic Studies,S166,Yes,['open source'],['values for each refactoring'],['software refactored and new metrics'],['java'],"S38,S157",['nan'],Both,['executes the tool'],multiple,"['api', 'cli (standard input)', 'gui']",['-'],['-'],['-'],
A2,abdulaziz-alhefdhi/tech_debt,script,https://github.com/Abdulaziz-Alhefdhi/tech_debt,['code comments'],['json'],['satd'],['identification'],No,Yes,Examples,,No,['open source'],['self-admitted td items'],"['json', 'csv']",['-'],S169,['nan'],Both,['executes the tool'],cli,['cli (standard input)'],['-'],['-'],['-'],
A3,adacontrol,tool,https://www.adalog.fr/en/adacontrol.html,['source code'],['source code'],"['design', 'code']","['measurement', 'identification']",No,Yes,Industrial Studies,S2,Yes,['open source'],['code violations'],['csv'],['ada'],S5,['nan'],Both,['executes the tool'],cli,['cli (standard input)'],['-'],['-'],['-'],
A4,ai reviewer,tool,https://www.aireviewer.com/doc/,['source code'],['source code'],['architectural'],['identification'],No,Yes,Examples,,Yes,['commercial'],['metrics reports'],['xml'],"['java', 'c/c++', 'go']","S154,S45,S66",['nan'],Both,['executes the tool'],multiple,"['cli (standard input)', 'gui']",['-'],['-'],['-'],
A5,arcan,tool,https://gitlab.com/essere.lab.public/arcan,['source code'],['source code'],['architectural'],['identification'],Yes,Yes,Industrial Studies,S56,Yes,['open source'],['dependency graph'],['dependecy graph'],['java'],"S59,S60,S62,S75,S80,S88,S89,S133,S135,S144,S148,S154,S156,S45,S67,S68",['nan'],Both,['execute the tool'],cli,['cli (standard input)'],['cli (standard input)'],['artifact'],['reads java bytecode as input and provides a machine-readble file (graphml)'],td activity
A6,astracker,script,https://github.com/darius-sas/astracker,['dependency graph'],['graphml (generated by arcan)'],['architectural'],['monitoring'],Yes,Yes,Examples,,Yes,['open source'],['architectural smells'],['xml'],['java'],S88,['nan'],Both,['execute the tool'],cli,['cli (standard input)'],['cli (standard input)'],['artifact'],['collects output of arcan tool (dependency graph)'],td activity
A7,atdx,tool,https://github.com/S2-group/ATDx,['source code'],['json'],['architectural'],['measurement'],Yes,Yes,Examples,,Yes,['open source'],['architectural td index'],"['json', 'html', 'markdown']",['not specified'],"S110,S134,S159",['nan'],Both,['executes the tool'],multiple,"['api', 'cli (standard input)']",['api'],"['artifact', 'development tool']",['integrates with sonarqube'],td type
A8,bettercodehub,tool,https://bettercodehub.com/about,['source code'],['source code'],"['design', 'code']",['identification'],No,Yes,Examples,,Yes,['free (for open source)'],['code violations'],['pull requests'],"['java', 'c#', 'c++', 'go', 'groovy', 'javascript', 'python', '+8']",S85,['runs with github'],Automated Trigger,['executes the tool'],api,['api (plugin for github)'],['-'],['-'],['-'],
A9,breakbot,bot,https://github.com/alien-tools/breakbot,['source code'],['source code'],['build'],['identification'],Yes,Yes,Examples,,No,['open source'],['break changes in libraries'],['text'],['-'],S170,['runs with github'],Automated Trigger,"['breaking changes (e.g., pull request with new code that can affect users of open source software)']",api,['api (plugin for github)'],['api (plugin for github)'],['repository'],['runs as a github app'],
A10,brunoslima/SATDPriorityParse,script,https://github.com/brunoslima/SATDPriorityParse,"['source code', 'code comments']",['source code'],"['design', 'code', 'satd']",['prioritization'],Yes,Yes,Examples,,No,['open source'],['self-admitted td items'],['csv'],['java'],S162,['it works for a vey specific context'],Both,['executes the tool'],cli,['cli (standard input)'],['cli (standard input)'],"['artifact', 'repository']",['it is integrated with github and sonarqube'],td activity
A11,cast,tool,https://www.castsoftware.com/,['source code'],['source code'],"['architectural', 'design', 'code']","['measurement', 'identification']",No,Yes,Industrial Studies,S56,Yes,['commercial'],['code metrics'],"['html', 'api']","['java', 'python', 'javascript', 'c/c++', 'c#', '+6']","S13,S9,S35,S62,S101,S105,S146",['nan'],Both,['executes the tool'],multiple,"['api (integrates with ci)', 'gui']",['-'],['-'],['-'],
A12,cbr insight,plugin,https://github.com/StottlerHenke,['source code'],['source code'],"['architectural', 'design', 'code']","['measurement', 'identification']",No,No,Industrial Studies,"S41,S72",No,['open source'],['code metrics'],['html'],['supported by scitool understand'],"S52,S78",['nan'],Human Trigger,['executes the tool'],gui,['gui (plugin for another automation artifact)'],['gui (plugin for another automation artifact)'],['artifact'],['integrated with understand'],
A13,cbr insight,script,https://github.com/StottlerHenke,['source code'],['source code'],"['architectural', 'design', 'code']","['measurement', 'identification']",No,Yes,Industrial Studies,"S41,S72",No,['open source'],['code metrics'],['html'],['supported by scitool understand'],S78,['nan'],Both,['executes the tool'],multiple,"['cli (standard input)', 'gui']",['gui'],['artifact'],['it is integrated with understand'],
A14,ccfinderx,tool,https://github.com/radekg1000/ccfinderx,['source code'],['source code'],['code'],['identification'],No,Yes,Examples,,Yes,['open source'],['code smells'],['text'],"['c', 'c++', 'java', 'cobol']",S1,['nan'],Both,['executes the tool'],cli,['cli (standard input)'],['-'],['-'],['-'],
A15,checkstyle,plugin,https://checkstyle.sourceforge.io/,['source code'],['source code'],"['design', 'code']",['identification'],No,No,Industrial Applications,S10,No,['open source'],['code violations'],['html'],['java'],"S8,S19,S44,S51,S113,S117,S124,S126,S6,S66,S30",['nan'],Human Trigger,['executes the tool'],gui,['gui (plugin for ide)'],['-'],['-'],['-'],
A16,checkstyle,tool,https://checkstyle.sourceforge.io/,['source code'],['source code'],"['design', 'code']",['identification'],No,Yes,Industrial Studies,S10,No,['open source'],['code violations'],['html'],['java'],"S8,S19,S44,S51,S113,S117,S124,S126,S6,S66,S30",['nan'],Both,['executes the tool'],multiple,"['api', 'cli (standard input)']",['-'],['-'],['-'],
A17,ck,script,https://github.com/mauricioaniche/ck,['source code'],['source code'],['code'],['identification'],Yes,Yes,Examples,,Yes,['open source'],['code metrics'],['csv'],['java'],"S65,S104,S126,S141",['nan'],Both,['executes the tool'],cli,['cli (standard input)'],['cli (standard input)'],['artifact'],['it is a library that can be used in a java app'],
A18,clang static analyzer,script,https://clang-analyzer.llvm.org/,['source code'],['source code'],['code'],['identification'],No,Yes,Examples,,No,['open source'],['code metrics'],['text'],['c/c++'],"S69,S151",['nan'],Both,['executes the tool'],cli,['cli (standard input)'],['-'],['-'],['-'],
A19,codacy,tool,https://www.codacy.com/,['source code'],['source code'],['code'],"['monitoring', 'identification']",No,Yes,Examples,,Yes,['open source'],['code violations'],"['json', 'pull requests']","['java', 'python', 'javascript', 'c/c++', 'c#', 'others']",S168,"['several plugins can be installed in the artifact', 'runs with github']",Both,['executes the tool'],multiple,"['api', 'gui']",['-'],['-'],['-'],
