id,name,type,link,input_info,input_fmt,td_type,tdma,is-integrated,can-integrated,maturity,studies_maturity,run_stand_alone,license_type,output_info,output_fmt,programming_language,studies_citing_artifact,other_comments,trigger,trigger-description,interface-type,interface-subtype,is-integrated-using-interface-subtype,is-integrated-with,is-integrated-description,is-integrted-outcome
A1,a-cma / a-cma dqn,tool,https://hrahmadi71.github.io/a-cma/,source code,source code,"Design TD,Code TD",Repayment,No,Yes,Academic Studies,S166,Yes,Open Source,Values for each refactoring,software refactored and new metrics,Java,"S27,S166",,Both,executes the tool,multiple,"api
cli (standard input)
gui",-,-,-,
A2,abdulaziz-alhefdhi/tech_debt,script,https://github.com/Abdulaziz-Alhefdhi/tech_debt,code comments,json,satd,Identification,No,Yes,Examples,,No,Open Source,self-admitted td items,"json,csv",-,S206,,Both,executes the tool,cli,cli (standard input),-,-,-,
A3,adacontrol,tool,https://www.adalog.fr/en/adacontrol.html,source code,source code,"Design TD,Code TD","Measurement,Identification",No,Yes,Industrial Studies,S2,Yes,Open Source,Code violations,csv,ada,S2,,Both,executes the tool,cli,cli (standard input),-,-,-,
A4,ai reviewer,tool,https://www.aireviewer.com/doc/,source code,source code,Architectural TD,Identification,No,Yes,Examples,,Yes,Commercial,Metrics Reports,xml,"Java,C/C++,Go","S162,S190,S193",,Both,executes the tool,multiple,"cli (standard input)
gui",-,-,-,
A5,arcan,tool,https://gitlab.com/essere.lab.public/arcan,source code,source code,Architectural TD,Identification,Yes,Yes,Industrial Studies,S56,Yes,Open Source,dependency graph,dependecy graph,Java,"S49,S53,S56,S69,S74,S85,S86,S97,S138,S148,S153,S162,S163,S190,S201,S205",,Both,execute the tool,cli,cli (standard input),cli (standard input),artifact,reads java bytecode as input and provides a machine-readble file (graphml),td activity
A6,astracker,script,https://github.com/darius-sas/astracker,dependency graph,graphml (generated by arcan),Architectural TD,Monitoring,Yes,Yes,Examples,,Yes,Open Source,architectural smells,xml,Java,S85,,Both,execute the tool,cli,cli (standard input),cli (standard input),artifact,collects output of arcan tool (dependency graph),td activity
A7,atdx,tool,https://github.com/S2-group/ATDx,source code,json,Architectural TD,Measurement,Yes,Yes,Examples,,Yes,Open Source,architectural td index,"json,html,markdown",Not Specified,"S118,S137,S168",,Both,executes the tool,multiple,"api
cli (standard input)",api,"artifact
development tool",integrates with sonarqube,td type
A8,bettercodehub,tool,https://bettercodehub.com/about,source code,source code,"Design TD,Code TD",Identification,No,Yes,Examples,,Yes,free (for open source),code violations,pull requests,"Java,C#,C++,Go,Groovy,JavaScript,Python,+8",S82,runs with github,Automated Trigger,executes the tool,api,api (plugin for github),-,-,-,
A9,breakbot,bot,https://github.com/alien-tools/breakbot,source code,source code,Build TD,Identification,Yes,Yes,Examples,,No,Open Source,break changes in libraries,text,-,S207,runs with github,Automated Trigger,"breaking changes (e.g., pull request with new code that can affect users of open source software)",api,api (plugin for github),api (plugin for github),repository,runs as a github app,
A10,brunoslima/SATDPriorityParse,script,https://github.com/brunoslima/SATDPriorityParse,"source code,code comments",source code,"Design TD,Code TD,satd",Prioritization,Yes,Yes,Examples,,No,Open Source,self-admitted td items,csv,Java,S171,it works for a vey specific context,Both,executes the tool,cli,cli (standard input),cli (standard input),"artifact
repository",it is integrated with github and sonarqube,td activity
A11,cast,tool,https://www.castsoftware.com/,source code,source code,"Architectural TD,Design TD,Code TD","Measurement,Identification",No,Yes,Industrial Studies,S56,Yes,Commercial,code metrics,"html,api","Java,Python,Javascript,C/C++,C#,+6","S9,S11,S24,S56,S106,S113,S150",,Both,executes the tool,multiple,"api (integrates with ci)
gui",-,-,-,
A12,cbr insight,plugin,https://github.com/StottlerHenke,source code,source code,"Architectural TD,Design TD,Code TD","Measurement,Identification",No,No,Industrial Studies,"S41,S72",No,Open Source,code metrics,html,supported by scitool understand,"S41,S72",,Human Trigger,executes the tool,gui,gui (plugin for another automation artifact),gui (plugin for another automation artifact),artifact,integrated with understand,
A13,cbr insight,script,https://github.com/StottlerHenke,source code,source code,"Architectural TD,Design TD,Code TD","Measurement,Identification",No,Yes,Industrial Studies,"S41,S72",No,Open Source,code metrics,html,supported by scitool understand,S72,,Both,executes the tool,multiple,"cli (standard input)
gui",gui,artifact,it is integrated with understand,
A14,ccfinderx,tool,https://github.com/radekg1000/ccfinderx,source code,source code,Code TD,Identification,No,Yes,Examples,,Yes,Open Source,code smells,text,"C,C++,Java,Cobol",S182,,Both,executes the tool,cli,cli (standard input),-,-,-,
A15,checkstyle,plugin,https://checkstyle.sourceforge.io/,source code,source code,"Design TD,Code TD",Identification,No,No,Industrial Applications,S10,No,Open Source,code violations,html,Java,"S10,S14,S33,S40,S122,S126,S133,S135,S189,S193,S194",,Human Trigger,executes the tool,gui,gui (plugin for ide),-,-,-,
A16,checkstyle,tool,https://checkstyle.sourceforge.io/,source code,source code,"Design TD,Code TD",Identification,No,Yes,Industrial Studies,S10,No,Open Source,code violations,html,Java,"S10,S14,S33,S40,S122,S126,S133,S135,S189,S193,S194",,Both,executes the tool,multiple,"api
cli (standard input)",-,-,-,
A17,ck,script,https://github.com/mauricioaniche/ck,source code,source code,Code TD,Identification,Yes,Yes,Examples,,Yes,Open Source,code metrics,csv,Java,"S60,S110,S135,S145",,Both,executes the tool,cli,cli (standard input),cli (standard input),artifact,it is a library that can be used in a java app,
A18,clang static analyzer,script,https://clang-analyzer.llvm.org/,source code,source code,Code TD,Identification,No,Yes,Examples,,No,Open Source,code metrics,text,C/C++,"S62,S157",,Both,executes the tool,cli,cli (standard input),-,-,-,
A19,codacy,tool,https://www.codacy.com/,source code,source code,Code TD,"Monitoring,Identification",No,Yes,Examples,,Yes,Open Source,code violations,"json,pull requests","Java,Python,Javascript,C/C++,C#,others",S179,"several plugins can be installed in the artifact,runs with github",Both,executes the tool,multiple,"api
gui",-,-,-,
A20,code inspector,tool,https://help.sap.com/doc/saphelp_nw74/7.4.16/en-us/49/205531d0fc14cfe10000000a42189b/frameset.htm,source code,source code,"Architectural TD,Design TD,Code TD",Measurement,No,Yes,Academic Studies,S150,Yes,Open Source,amount of technical debt,json,Not Specified,S150,,Both,executes the tool,multiple,"api
cli (standard input)",-,-,-,
A21,code scene,tool,https://codescene.io/,source code,source code,Code TD,"Monitoring,Measurement,Identification",No,Yes,Examples,,Yes,Commercial,"code metrics,quality level",html,+25,"S107,S113",runs with github,Automated Trigger,runs with github,api,api (integrates with ci),-,-,-,
A22,codeflow,tool,https://www.getcodeflow.com/,source code,source code,Code TD,Identification,No,Yes,Examples,,No,Free,"code violations,code duplications,cyclomatic complexity",issues,Javascript,S126,runs with github,Automated Trigger,runs with github,api,api (integrates with ci),-,-,-,
