id,old_id,title,author,author_type,year,venue,venue_type,link,reference,objective,artifacts
S1,S182,CCFinder: A Multilinguistic Token-Based Code Clone Detection System for Large Scale Source Code,"Toshihiro Kamiya, Member
Shinji Kusumoto
Katsuro Inoue",Academia,"2,002.00",IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,Journal,,"@article{Kamiya2002CCFinderAM,
  title={CCFinder: A Multilinguistic Token-Based Code Clone Detection System for Large Scale Source Code},
  author={Toshihiro Kamiya and Shinji Kusumoto and Katsuro Inoue},
  journal={IEEE Trans. Software Eng.},
  year={2002},
  volume={28},
  pages={654-670}
}",,CCFinderX
S2,S185,A Catalogue of Lightweight Visualizations to Support Code Smell Inspection,"Chris Parnin
Carsten Gorg
Ogechi Nnadi",Academia,"2,008.00",ACM symposium on Software visualization,Conference,https://doi.org/10.1145/1409720.1409733,"@INPROCEEDINGS{Parnin2008-mo,
  title           = ""A catalogue of lightweight visualizations to support code
                     smell inspection"",
  booktitle       = ""Proceedings of the 4th {ACM} symposium on Software
                     visuallization - {SoftVis} '08"",
  author          = ""Parnin, Chris and G{\""o}rg, Carsten and Nnadi, Ogechi"",
  publisher       = ""ACM Press"",
  year            =  2008,
  address         = ""New York, New York, USA"",
  conference      = ""the 4th ACM symposium"",
  location        = ""Ammersee, Germany""
}
",,Gerdarme
S3,S1,Metrics Functions for Kanban Guards,"Jeanette Heidenberg
Ivan Porres",Academia,"2,010.00",International Conference and Workshops on Engineering of Computer-Based Systems,Conference,http://doi.org/10.1109/ECBS.2010.43,"@inproceedings{Heidenberg2010,
  doi = {10.1109/ecbs.2010.43},
  url = {https://doi.org/10.1109/ecbs.2010.43},
  year = {2010},
  publisher = {{IEEE}},
  author = {Jeanette Heidenberg and Ivan Porres},
  title = {Metrics Functions for Kanban Guards},
  booktitle = {2010 17th {IEEE} International Conference and Workshops on Engineering of Computer Based Systems}
}","In this paper, we outline metrics functions that can take advantage of more advanced information of the development artifacts and provide the lean or agile team with partially automated decision support for quality assurance actions","STAN
Resource standard metrics"
S4,S191,Building Empirical Support for Automated Code Smell Detection,"Jan Schumacher
Nico Zazworka
Forrest Shull
Carolyn Seaman
Michele Shaw",Academia,"2,010.00",International Symposium on Empirical Software Engineering and Measurement,Conference,,"@inproceedings{10.1145/1852786.1852797,
author = {Schumacher, Jan and Zazworka, Nico and Shull, Forrest and Seaman, Carolyn and Shaw, Michele},
title = {Building Empirical Support for Automated Code Smell Detection},
year = {2010},
isbn = {9781450300391},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/1852786.1852797},
doi = {10.1145/1852786.1852797},
booktitle = {Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement},
articleno = {8},
numpages = {10},
keywords = {empirical study, code smells, maintainability, code inspection, god class},
location = {Bolzano-Bozen, Italy},
series = {ESEM '10}
}",,CodeVizard
S5,S2,The SQALE Quality and Analysis Models for Assessing the Quality of Ada Source Code,"Thierry Coq
Jean-Pierre Rosen",Industry,"2,011.00", International Conference on Reliable Software Technologies,Conference,https://doi.org/10.1007/978-3-642-21338-0_5,"@incollection{Coq_2011,
	doi = {10.1007/978-3-642-21338-0_5},
	url = {https://doi.org/10.1007%2F978-3-642-21338-0_5},
	year = 2011,
	publisher = {Springer Berlin Heidelberg},
	pages = {61--74},
	author = {Thierry Coq and Jean-Pierre Rosen},
	title = {The {SQALE} Quality and Analysis Models for Assessing the Quality of Ada Source Code},
	booktitle = {Reliable Software Technologies - Ada-Europe 2011}
}","This article presents the quality and analysis model of the SQALE assessment method of software source code. It explains how an Ada quality model compliant to SQALE is implemented and the results of its application to selected software, and how the use of Ada reduces the quality debt unlike many other technologies.",AdaControl
S6,S189,Automatic detection of bad smells in code: An experimental assessment,"Francesca Arcelli Fontanaa
Pietro Braionea
Marco Zanonia",Academia,"2,011.00",Journal of Object Technology,Journal,,"@article{ArcelliFontana2012,
  doi = {10.5381/jot.2012.11.2.a5},
  url = {https://doi.org/10.5381/jot.2012.11.2.a5},
  year = {2012},
  publisher = {{AITO} - Association Internationale pour les Technologies Objets},
  volume = {11},
  number = {2},
  pages = {5:1},
  author = {Francesca Arcelli Fontana and Pietro Braione and Marco Zanoni},
  title = {Automatic detection of bad smells in code: An experimental assessment.},
  journal = {The Journal of Object Technology}
}",,Checkstyle
S7,S195,Detecting Software Modularity Violations,,Academia,"2,011.00",International Conference on Software Engineering,Conference,,"@INPROCEEDINGS{6032480,  author={Wong, Sunny and Cai, Yuanfang and Kim, Miryung and Dalton, Michael},  booktitle={2011 33rd International Conference on Software Engineering (ICSE)},   title={Detecting software modularity violations},   year={2011},  volume={},  number={},  pages={411-420},  doi={10.1145/1985793.1985850}}",,
S8,S10,Value-Based Technical Debt Model and Its Application,"Marek G. Stochel
Mariusz R. Wawrowski
Magdalena Rabiej",Industry,"2,012.00",International Conference on Software Engineering Advances,Conference,,"@inproceedings{Stochel2012ValueBasedTD,
  title={Value-Based Technical Debt Model and Its Application},
  author={Marek Grzegorz Stochel and Mariusz R. Wawrowski and M. Rabiej},
  booktitle={ICSEA 2012},
  year={2012}
}","We propose to expand the understanding and  visibility of the technical debt by introducing a model driven  approach to provide the means to assess the technical debt  impact on perceived product quality parameters, such as  codebase/design and architecture, engineering productivity,  and finally the company’s business return on the engineering 
 investment.","PMD
Checkstyle
Cobertura
FXCop
Klocwork
Sonar TD Plugin"
S9,S11,Estimating the Principal of an Application’s Technical Debt,"Bill Curtis
Jay Sappidi
Alexandra Szynkarski",Industry,"2,012.00",IEEE Software,Journal,https://doi.org/10.1109/ms.2012.156,"@article{Curtis2012,
  doi = {10.1109/ms.2012.156},
  url = {https://doi.org/10.1109/ms.2012.156},
  year = {2012},
  month = nov,
  publisher = {Institute of Electrical and Electronics Engineers ({IEEE})},
  volume = {29},
  number = {6},
  pages = {34--42},
  author = {Bill Curtis and Jay Sappidi and Alexandra Szynkarski},
  title = {Estimating the Principal of an Application{\textquotesingle}s Technical Debt},
  journal = {{IEEE} Software}
}","A formula with adjustable parameters can
help in estimating the principal of technical
debt from structural quality data",CAST
S10,S4,A Threshold Based Approach to Technical Debt,Robert J. Eisenberg,Industry,"2,012.00",ACM Software Engineering Notes,Journal,https://doi.org/10.1145/2108144.2108151,"@article{Eisenberg_2012,
	doi = {10.1145/2108144.2108151},
	url = {https://doi.org/10.1145/2108144.2108151},
	year = 2012,
	month = {apr},
	publisher = {Association for Computing Machinery ({ACM})},
	volume = {37},
	number = {2},
	pages = {1--6},
	author = {Robert J. Eisenberg},
	title = {A threshold based approach to technical debt},
	journal = {{ACM} {SIGSOFT} Software Engineering Notes}
}
","In this article, we define an approach for establishing program specific thresholds to define
manageable levels of technical debt.",SonarQube
